epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,28.494905471801758,0.0008685114,1.5427968502044678,0.6690423488616943,0.45813867449760437
1,0.5351534485816956,0.00075431203,0.42669785022735596,0.561076283454895,0.39535272121429443
2,0.5100280046463013,0.00065512856,0.4207676947116852,0.5395911931991577,0.39797309041023254
3,0.434635728597641,0.0005689866,0.3765149414539337,0.5242586731910706,0.383864164352417
4,0.42105624079704285,0.00049417134,0.37529054284095764,0.5347239375114441,0.4164184331893921
5,0.34318482875823975,0.00042919343,0.35627612471580505,0.3600250780582428,0.3286665380001068
6,0.26100030541419983,0.0003727594,0.32133838534355164,0.31558582186698914,0.27747195959091187
7,0.2476416528224945,0.00032374577,0.2936359941959381,0.40604373812675476,0.41535454988479614
8,0.23566536605358124,0.00028117688,0.29789072275161743,0.291987806558609,0.2855711281299591
9,0.21703872084617615,0.00024420532,0.28638404607772827,0.2580457627773285,0.26770249009132385
10,0.18813923001289368,0.0002120951,0.267341285943985,0.2545385956764221,0.27645888924598694
11,0.20402875542640686,0.000184207,0.26894551515579224,0.2592180073261261,0.269797682762146
12,0.19253922998905182,0.00015998588,0.25786909461021423,0.23042841255664825,0.2407286912202835
13,0.1848359853029251,0.00013894956,0.27211490273475647,0.22651974856853485,0.24271485209465027
14,0.16983017325401306,0.00012067927,0.25182202458381653,0.2304679900407791,0.24569958448410034
15,0.17346397042274475,0.00010481132,0.2465176284313202,0.2640867233276367,0.3078386187553406
16,0.19442221522331238,9.1029826e-05,0.2532515227794647,0.226704403758049,0.24675607681274414
17,0.1916671097278595,7.906044e-05,0.25136449933052063,0.22734776139259338,0.25457167625427246
18,0.18165788054466248,6.866489e-05,0.2472541183233261,0.2235082983970642,0.2529265880584717
19,0.16971629858016968,5.963624e-05,0.24022872745990753,0.19923098385334015,0.23278258740901947
20,0.1548236757516861,5.1794752e-05,0.2329513430595398,0.197917178273201,0.23289325833320618
21,0.16503944993019104,4.4984332e-05,0.23353205621242523,0.19608567655086517,0.22851905226707458
22,0.168584406375885,3.9069404e-05,0.23930855095386505,0.19060970842838287,0.23252888023853302
23,0.1510762870311737,3.393222e-05,0.23031431436538696,0.18959952890872955,0.22857068479061127
24,0.15126730501651764,2.947052e-05,0.22604885697364807,0.19946706295013428,0.24169574677944183
25,0.16891057789325714,2.5595482e-05,0.2296845018863678,0.17990411818027496,0.22022020816802979
26,0.15199218690395355,2.2229968e-05,0.22688457369804382,0.18427018821239471,0.23081757128238678
27,0.1505006104707718,1.9306979e-05,0.22467143833637238,0.19248974323272705,0.24617516994476318
28,0.15029476583003998,1.676833e-05,0.22546833753585815,0.18589550256729126,0.22117827832698822
29,0.14497855305671692,1.4563486e-05,0.217518612742424,0.17893312871456146,0.22260768711566925
30,0.15892545878887177,1.2648553e-05,0.22357185184955597,0.1922423392534256,0.23953859508037567
31,0.15021125972270966,1.0985412e-05,0.21992000937461853,0.18092262744903564,0.22611699998378754
32,0.16362619400024414,9.540955e-06,0.22032634913921356,0.18237410485744476,0.22510841488838196
33,0.14819861948490143,8.286428e-06,0.2174799144268036,0.17438676953315735,0.21795637905597687
34,0.1609824001789093,7.196857e-06,0.2206152081489563,0.17821379005908966,0.2215116322040558
35,0.1342889815568924,6.2505524e-06,0.21407367289066315,0.17460256814956665,0.21713155508041382
36,0.13400408625602722,5.4286756e-06,0.21297599375247955,0.17505113780498505,0.2167760282754898
37,0.15257860720157623,4.7148665e-06,0.21755215525627136,0.1748514473438263,0.22493845224380493
38,0.13865835964679718,4.0949153e-06,0.21138516068458557,0.17441879212856293,0.21981146931648254
39,0.1464947611093521,3.5564806e-06,0.21185454726219177,0.17177893221378326,0.2173372209072113
40,0.13560013473033905,3.0888439e-06,0.21055831015110016,0.17231576144695282,0.21646177768707275
41,0.1366693377494812,2.682696e-06,0.20980705320835114,0.18187043070793152,0.23340751230716705
42,0.12348740547895432,2.329952e-06,0.21063993871212006,0.17171548306941986,0.21649649739265442
43,0.13741862773895264,2.0235898e-06,0.20997406542301178,0.17186468839645386,0.21892648935317993
44,0.11876479536294937,1.7575107e-06,0.20652641355991364,0.1738067865371704,0.21760843694210052
45,0.1329854130744934,1.526418e-06,0.2065954953432083,0.17106227576732635,0.21471358835697174
46,0.151628777384758,1.3257114e-06,0.21138615906238556,0.16978353261947632,0.21441276371479034
47,0.1512933373451233,1.1513954e-06,0.2096910923719406,0.17129284143447876,0.21709130704402924
48,0.1701679527759552,1e-06,0.21233442425727844,0.17298738658428192,0.217854842543602
49,0.12057866901159286,8.685114e-07,0.20493276417255402,0.1696764975786209,0.21444076299667358
