epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,29.544082641601562,0.0008685114,0.828279972076416,0.5669814944267273,0.39670631289482117
1,0.5677197575569153,0.00075431203,0.47380051016807556,0.5930888056755066,0.42603668570518494
2,0.40278688073158264,0.00065512856,0.40933096408843994,0.5990853309631348,0.41799435019493103
3,0.3348415493965149,0.0005689866,0.36959919333457947,1.0153158903121948,0.8226945400238037
4,0.4085617959499359,0.00049417134,0.3886607885360718,0.2880074977874756,0.3008827269077301
5,0.27128997445106506,0.00042919343,0.3401385545730591,0.31363385915756226,0.37742969393730164
6,0.26327207684516907,0.0003727594,0.31619444489479065,0.30037781596183777,0.3011593222618103
7,0.2647002935409546,0.00032374577,0.3269725739955902,0.37945231795310974,0.4857005774974823
8,0.2336324006319046,0.00028117688,0.3076743185520172,0.19446608424186707,0.25272393226623535
9,0.21006396412849426,0.00024420532,0.2979019582271576,0.3106912076473236,0.3337050974369049
10,0.19718632102012634,0.0002120951,0.27694442868232727,0.3193034529685974,0.3468303978443146
11,0.2524034082889557,0.000184207,0.30264782905578613,0.2194434106349945,0.2396893948316574
12,0.22996923327445984,0.00015998588,0.28425273299217224,0.2606211304664612,0.28004711866378784
13,0.17570562660694122,0.00013894956,0.2511664927005768,0.18899497389793396,0.2339072823524475
14,0.1905120313167572,0.00012067927,0.2493458241224289,0.21926172077655792,0.24102897942066193
15,0.1375693529844284,0.00010481132,0.2337639331817627,0.21259364485740662,0.227591872215271
16,0.1530241221189499,9.1029826e-05,0.23232696950435638,0.23625247180461884,0.24793125689029694
17,0.17286497354507446,7.906044e-05,0.2377028912305832,0.19384881854057312,0.23415185511112213
18,0.1463564932346344,6.866489e-05,0.21803736686706543,0.1765514314174652,0.22164574265480042
19,0.14122703671455383,5.963624e-05,0.21055856347084045,0.17196717858314514,0.21811634302139282
20,0.12080905586481094,5.1794752e-05,0.19796690344810486,0.21274681389331818,0.2743584215641022
21,0.12474823743104935,4.4984332e-05,0.19383275508880615,0.1780889481306076,0.2475557029247284
22,0.12469597160816193,3.9069404e-05,0.19118347764015198,0.2226688712835312,0.30803433060646057
23,0.12009190022945404,3.393222e-05,0.18924370408058167,0.1505494862794876,0.18684248626232147
24,0.09553726017475128,2.947052e-05,0.17436259984970093,0.14147751033306122,0.188221737742424
25,0.10417075455188751,2.5595482e-05,0.17349372804164886,0.14769980311393738,0.1984076052904129
26,0.10059911757707596,2.2229968e-05,0.1678781509399414,0.1419893503189087,0.18679958581924438
27,0.08327660709619522,1.9306979e-05,0.16053171455860138,0.13768646121025085,0.1818254292011261
28,0.07283949106931686,1.676833e-05,0.15559691190719604,0.14426779747009277,0.1875704824924469
29,0.09576835483312607,1.4563486e-05,0.15788999199867249,0.13676103949546814,0.17970137298107147
30,0.07854019850492477,1.2648553e-05,0.15241073071956635,0.14013677835464478,0.18854065239429474
31,0.07284940034151077,1.0985412e-05,0.14617684483528137,0.14264976978302002,0.1866661012172699
32,0.07687534391880035,9.540955e-06,0.14350014925003052,0.13496990501880646,0.18367084860801697
33,0.07049645483493805,8.286428e-06,0.14315445721149445,0.1364688128232956,0.17685456573963165
34,0.06821887195110321,7.196857e-06,0.14209850132465363,0.13312098383903503,0.18005824089050293
35,0.056713249534368515,6.2505524e-06,0.13555091619491577,0.1342392861843109,0.17623890936374664
36,0.07262535393238068,5.4286756e-06,0.1379028558731079,0.1331862062215805,0.17812247574329376
37,0.05379759892821312,4.7148665e-06,0.13338246941566467,0.13509149849414825,0.1796664297580719
38,0.05232574790716171,4.0949153e-06,0.12941661477088928,0.1358758807182312,0.17610086500644684
39,0.05001816153526306,3.5564806e-06,0.12906669080257416,0.134924054145813,0.17588560283184052
40,0.06348877400159836,3.0888439e-06,0.13287271559238434,0.13036948442459106,0.1725793331861496
41,0.061459410935640335,2.682696e-06,0.12998217344284058,0.13436725735664368,0.17695258557796478
42,0.06564587354660034,2.329952e-06,0.1313634216785431,0.13403446972370148,0.17555607855319977
43,0.04883759841322899,2.0235898e-06,0.12626346945762634,0.13266591727733612,0.17376960813999176
44,0.05518491566181183,1.7575107e-06,0.1264820247888565,0.13314957916736603,0.1745411604642868
45,0.052071861922740936,1.526418e-06,0.12733107805252075,0.1339278519153595,0.17608876526355743
46,0.045448094606399536,1.3257114e-06,0.12471327185630798,0.13379374146461487,0.1747923046350479
47,0.05576392635703087,1.1513954e-06,0.12560689449310303,0.1342841386795044,0.17534874379634857
48,0.06228247284889221,1e-06,0.12805861234664917,0.13341142237186432,0.17493075132369995
49,0.04546681419014931,8.685114e-07,0.1233796775341034,0.1326652467250824,0.17463825643062592
