epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.3863442540168762,0.0009732744,0.08079738169908524,0.0030083144083619118,0.04880514740943909
1,0.0014709651004523039,0.00094726303,0.029890086501836777,0.0036668742541223764,0.05666876584291458
2,11.326749801635742,0.00092194683,0.2680230438709259,0.021619651466608047,0.10474058985710144
3,0.011217783205211163,0.00089730724,0.07561492174863815,0.005997856613248587,0.05287129059433937
4,0.004583547357469797,0.00087332615,0.05011235550045967,0.002297671278938651,0.038488633930683136
5,0.0022878411691635847,0.000849986,0.03736269474029541,0.00137466995511204,0.030347296968102455
6,0.001788156689144671,0.00082726957,0.03323102742433548,0.00201563723385334,0.039207059890031815
7,0.001568132545799017,0.00080516026,0.03122256137430668,0.002186584286391735,0.04074033722281456
8,0.1073097214102745,0.0007836419,0.06316673755645752,0.012583128176629543,0.08160209655761719
9,0.004036944359540939,0.0007626986,0.04587208107113838,0.002019262872636318,0.035392146557569504
10,0.001433820347301662,0.000742315,0.030094986781477928,0.0012201278004795313,0.029130665585398674
11,0.0014583875890821218,0.0007224762,0.029848270118236542,0.0005164790782146156,0.017377713695168495
12,0.001162912230938673,0.0007031676,0.02687104418873787,0.0007211578777059913,0.022555723786354065
13,0.001036481698974967,0.000684375,0.025233808904886246,0.0006683676037937403,0.022038500756025314
14,0.0009107550140470266,0.00066608464,0.023730171844363213,0.0002876340877264738,0.012612693011760712
15,0.0008193868561647832,0.0006482831,0.022523919120430946,0.0013908165274187922,0.03375355899333954
16,0.00070856575621292,0.00063095737,0.020817626267671585,0.0003033307730220258,0.013407109305262566
17,0.0005867384024895728,0.00061409466,0.018989836797118187,0.000326412555295974,0.014587422832846642
18,0.009984754025936127,0.0005976826,0.0364660918712616,0.001534328213892877,0.03504391014575958
19,0.0006442920421250165,0.00058170914,0.01986035332083702,0.0006163869402371347,0.020816471427679062
20,0.0006630769348703325,0.00056616263,0.02014106698334217,0.0006309092277660966,0.020641779527068138
21,0.0006195050664246082,0.0005510316,0.019456597045063972,0.00030835741199553013,0.013734432868659496
22,0.0005511609488166869,0.00053630496,0.018163111060857773,0.0008191997185349464,0.025418538600206375
23,0.00048100200365297496,0.0005219719,0.01708032935857773,0.00020958558889105916,0.01068110577762127
24,0.0004156653303653002,0.00050802185,0.01582682691514492,0.00017154577653855085,0.009583908133208752
25,0.00034575926838442683,0.0004944447,0.014400862157344818,0.0002040491090156138,0.01038756687194109
26,0.00033570273080840707,0.00048123035,0.014190002344548702,0.00023103057174012065,0.012001069262623787
27,0.00027644349029287696,0.00046836917,0.01285878662019968,0.00035625166492536664,0.016451677307486534
28,0.0002568438649177551,0.00045585172,0.012424292974174023,0.00013611360918730497,0.008464837446808815
29,0.0002293443540111184,0.0004436688,0.011665543541312218,0.00013385326019488275,0.008623369969427586
30,0.00022816307318862528,0.0004318115,0.011623173952102661,0.00015382077253889292,0.009499269537627697
31,0.00020827344269491732,0.00042027107,0.011107370257377625,0.0001457842590752989,0.00977286696434021
32,0.0001895447785500437,0.00040903906,0.010609830729663372,0.00024162667978089303,0.013531679287552834
33,0.00016047604731284082,0.00039810725,0.009668382816016674,7.59434187784791e-05,0.006203094031661749
34,0.00015618557517882437,0.0003874676,0.00958426296710968,0.00017872147145681083,0.011175688356161118
35,0.0001367659424431622,0.00037711227,0.008938253857195377,0.00031892061815597117,0.015390202403068542
36,0.0001412699493812397,0.0003670337,0.00906001403927803,0.0001301227748626843,0.009515613317489624
37,0.00012455869000405073,0.0003572245,0.008558901026844978,0.00010318158456357196,0.0076615759171545506
38,0.00012173980940133333,0.00034767744,0.008441424928605556,6.24248496023938e-05,0.005553389433771372
39,0.00011598468699958175,0.00033838555,0.008204244077205658,8.310837438330054e-05,0.006561335176229477
40,0.00010789959924295545,0.000329342,0.007902725599706173,6.993475108174607e-05,0.006255138199776411
41,0.00010209385072812438,0.00032054013,0.007682223804295063,9.567866800352931e-05,0.00781211955472827
42,9.66131774475798e-05,0.0003119735,0.007493564393371344,6.972102710278705e-05,0.006135188043117523
43,9.177635365631431e-05,0.0003036358,0.007360795047134161,0.0001083355164155364,0.008571834303438663
44,8.215772686526179e-05,0.00029552096,0.006876673083752394,8.161829464370385e-05,0.007035864982753992
45,8.354704914381728e-05,0.000287623,0.006930884439498186,4.180391624686308e-05,0.004430222325026989
46,7.50295803300105e-05,0.0002799361,0.006549487821757793,5.0344824558123946e-05,0.005066527519375086
47,7.2398608608637e-05,0.00027245464,0.0064322128891944885,7.736678526271135e-05,0.006967573426663876
48,6.539613241329789e-05,0.00026517312,0.006098359357565641,3.9290327549679205e-05,0.004292753990739584
